Englisch;Deutsch;Extra;Type
to invent (a device);erfinden;erfinden, erfand, hat erfunden;Verb
to discover (during an investigation);herausfinden;findet heraus, fand heraus, hat herausgefunden;Verb
to fly;fliegen;fliegt, flog, hat geflogen;Verb
to fly over/accross (a text, the ocean);überfliegen;überfliegt, überflog, hat überflogen;Verb
to flee;fliehen;flieht, floh, ist geflohen;Verb
to flow (water);fliessen;fliesst, floss, ist geflossen;Verb
to eat (not essen);fressen;frisst, frass, hat gefressen;Verb
to freeze;frieren;friert, fror, hat gefroren;Verb
to give;geben;gibt, gab, hat gegeben;Verb
to hand over (a vote);abgeben;gibt ab, gab ab, hat abgegeben;Verb
to indicate/specify (personal data);angeben;gibt an, gab an, hat angegeben;Verb
to give up (a project);aufgeben;gibt auf, gab auf, hat aufgegeben;Verb
to show/demonstrate (the investigation shows);ergeben;ergibt, ergab, hat ergeben;Verb
to surrenden oneself to;sich hingeben;gibt sich hin, gab sich hin, hat sich hingegeben;Verb
to give in to;nachgeben;gibt nach, gab nach, hat nachgegeben;Verb
to pass on (knowledge);weitergeben;gibt weiter, gab weiter, hat weitergegeben;Verb
to reproduce (a text);wiedergeben;gibt wieder, gab wieder, hat wiedergegeben;Verb
to admit to;zugeben;gibt zu, gab zu, hat zugegeben;Verb
to go;gehen;geht, ging, ist gegangen;Verb
to assume (something);ausgehen;geht aus, ging aus, ist ausgegangen;Verb
to make/commit (a mistake);begehen;begeht, beging, hat begangen;Verb
to enter into/undertake (a risk);eingehen;geht ein, ging ein, ist eingegangen;Verb
to double-cross/betray;hintergehen;hintergeht, hinterging, ist hintergangen;Verb
to pursue/investigate;nachgehen;geht nach, ging nach, ist nachgegangen;Verb
to pass (someone) over/by;übergehen;geht über, ging über, hat übergangen;Verb
to skip/proceed to (the next point);übergehen;geht über, ging über, ist übergangen;Verb
to avoid/circumvent (by chance);umgehen;geht um, ging um, ist umgegangen;Verb
to pass (the time);vergehen;vergeht, verging, ist vergangen;Verb
to act (against something/someone);vergehen;geht vor, ging vor, ist vorgegangen;Verb
